"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.974479314E1,1.549804688E0,5.595397949E-1,8.916122437E0
3.984501287E1,2.062164307E0,-3.182983398E-2,1.023052979E1
3.994526311E1,1.887390137E0,-5.370025635E-1,8.899353027E0
4.004548284E1,1.918518066E0,-5.513610840E-1,9.612823486E0
4.014573308E1,1.961608887E0,-1.339065552E0,9.399749756E0
4.024598333E1,1.995132446E0,-1.770019531E0,9.509872437E0
4.034620305E1,1.669525146E0,-8.841552734E-1,9.493118286E0
4.044645330E1,1.920913696E0,-5.992584229E-1,9.857040405E0
4.054670354E1,1.418136597E0,-9.559936523E-1,9.098068237E0
4.064692327E1,1.307998657E0,-9.248657227E-1,9.971954346E0
4.074717351E1,1.231384277E0,-6.878356934E-1,9.495513916E0
4.084739324E1,1.205047607E0,-7.883911133E-1,9.916885376E0
4.094764046E1,1.068572998E0,-9.895019531E-1,9.215393066E0
4.104789071E1,1.224197388E0,-1.006271362E0,9.957595825E0
