"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.942924138E1,4.651489258E1,-1.852569580E1,-5.371093750E-1
3.952994939E1,4.681549072E1,-1.869659424E1,-1.437377930E0
3.963209172E1,4.741516113E1,-1.955566406E1,-5.371093750E-1
3.973231145E1,4.741516113E1,-1.904602051E1,-2.380371094E-1
3.983256170E1,4.771575928E1,-1.904602051E1,-2.380371094E-1
3.993281194E1,4.651489258E1,-1.835632324E1,-8.377075195E-1
4.003345891E1,4.801483154E1,-1.869659424E1,-1.437377930E0
4.013419744E1,4.861602783E1,-1.869659424E1,-8.377075195E-1
4.023490545E1,4.891510010E1,-1.887664795E1,6.256103516E-2
4.033558294E1,4.981536865E1,-1.765594482E1,-2.037048340E0
4.043632146E1,5.011596680E1,-1.887664795E1,-1.136779785E0
4.053702947E1,5.011596680E1,-1.852569580E1,-1.136779785E0
4.063947698E1,5.041503906E1,-1.748657227E1,-1.737976074E0
4.073969670E1,5.131530762E1,-1.765594482E1,3.631591797E-1
