"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.359697802E1,5.476226807E1,1.005554199E0,4.194641113E0
8.369948656E1,5.476226807E1,6.546020508E-1,6.594848633E0
8.379964525E1,5.536193848E1,1.342773438E-1,5.694580078E0
8.389983446E1,5.416259766E1,1.174926758E0,6.294250488E0
8.400002367E1,5.506134033E1,1.174926758E0,4.493713379E0
8.410054857E1,5.506134033E1,6.546020508E-1,4.194641113E0
8.420125658E1,5.416259766E1,1.174926758E0,5.094909668E0
8.430193407E1,5.536193848E1,6.546020508E-1,5.393981934E0
8.440264208E1,5.386199951E1,1.864624023E0,5.094909668E0
8.450335009E1,5.536193848E1,3.051757812E-1,4.794311523E0
8.460405810E1,5.476226807E1,1.344299316E0,4.794311523E0
8.470626147E1,5.476226807E1,8.255004883E-1,4.493713379E0
8.480642016E1,5.446166992E1,8.255004883E-1,5.694580078E0
8.490660937E1,5.446166992E1,6.546020508E-1,6.594848633E0
8.500689013E1,5.506134033E1,-3.845214844E-1,4.194641113E0
8.510759814E1,5.566253662E1,-9.048461914E-1,7.495117188E0
8.520830614E1,5.566253662E1,1.342773438E-1,4.493713379E0
8.530901415E1,5.446166992E1,-2.151489258E-1,6.294250488E0
8.540972216E1,5.416259766E1,8.255004883E-1,5.694580078E0
8.551043017E1,5.536193848E1,-3.509521484E-2,7.194519043E0
8.561281664E1,5.476226807E1,-3.845214844E-1,5.393981934E0
8.571300585E1,5.476226807E1,-3.509521484E-2,4.794311523E0
8.581316454E1,5.446166992E1,8.255004883E-1,5.694580078E0
8.591335375E1,5.536193848E1,1.342773438E-1,5.694580078E0
8.601393969E1,5.386199951E1,6.546020508E-1,4.794311523E0
8.611467821E1,5.566253662E1,1.342773438E-1,4.493713379E0
8.621538622E1,5.476226807E1,-3.845214844E-1,5.393981934E0
8.631609423E1,5.536193848E1,-9.048461914E-1,6.294250488E0
8.641680224E1,5.446166992E1,-5.554199219E-1,6.294250488E0
8.651751024E1,5.296173096E1,-2.151489258E-1,5.694580078E0
8.661962206E1,5.506134033E1,-3.845214844E-1,4.794311523E0
8.671981127E1,5.386199951E1,3.051757812E-1,4.194641113E0
8.682000048E1,5.446166992E1,-9.048461914E-1,6.893920898E0
8.692031176E1,5.386199951E1,-2.151489258E-1,6.294250488E0
8.702105028E1,5.416259766E1,-3.509521484E-2,3.594970703E0
8.712175829E1,5.266265869E1,-3.509521484E-2,5.393981934E0
8.722246630E1,5.416259766E1,1.342773438E-1,3.894042969E0
8.732317431E1,5.356140137E1,4.852294922E-1,4.493713379E0
8.742391283E1,5.416259766E1,-7.354736328E-1,4.194641113E0
8.752623827E1,5.476226807E1,-9.048461914E-1,4.493713379E0
8.762634348E1,5.416259766E1,-5.554199219E-1,5.694580078E0
8.772653269E1,5.386199951E1,-5.554199219E-1,5.094909668E0
8.782669138E1,5.446166992E1,-9.048461914E-1,5.694580078E0
8.792736888E1,5.446166992E1,-5.554199219E-1,5.694580078E0
8.802807688E1,5.386199951E1,-7.354736328E-1,4.794311523E0
8.812878489E1,5.386199951E1,-1.075744629E0,5.995178223E0
8.822949290E1,5.326232910E1,-3.845214844E-1,5.393981934E0
8.833020091E1,5.206146240E1,-3.509521484E-2,4.794311523E0
8.843090892E1,5.416259766E1,-5.554199219E-1,5.694580078E0
8.853292918E1,5.296173096E1,1.342773438E-1,5.694580078E0
8.863311839E1,5.476226807E1,-1.594543457E0,6.294250488E0
8.873330760E1,5.446166992E1,-7.354736328E-1,7.794189453E0
8.883374095E1,5.506134033E1,-1.255798340E0,6.893920898E0
8.893444895E1,5.446166992E1,-1.765441895E0,4.794311523E0
8.903515696E1,5.476226807E1,-1.425170898E0,4.794311523E0
8.913586497E1,5.476226807E1,-9.048461914E-1,5.094909668E0
8.923660350E1,5.446166992E1,-1.594543457E0,5.094909668E0
8.933728098E1,5.476226807E1,-1.075744629E0,6.594848633E0
8.943957591E1,5.386199951E1,-1.425170898E0,6.594848633E0
8.953973460E1,5.476226807E1,-1.765441895E0,5.995178223E0
8.963992381E1,5.506134033E1,-2.114868164E0,5.995178223E0
8.974011302E1,5.386199951E1,-9.048461914E-1,5.694580078E0
8.984082102E1,5.386199951E1,-1.765441895E0,5.393981934E0
8.994152903E1,5.356140137E1,-1.594543457E0,4.493713379E0
9.004223704E1,5.416259766E1,-2.635192871E0,6.294250488E0
9.014297556E1,5.326232910E1,-1.075744629E0,6.594848633E0
9.024365306E1,5.536193848E1,-2.285766602E0,5.694580078E0
9.034616160E1,5.476226807E1,-2.464294434E0,5.995178223E0
9.044635081E1,5.416259766E1,-1.945495605E0,3.894042969E0
9.054654002E1,5.356140137E1,-1.425170898E0,5.393981934E0
9.064672923E1,5.416259766E1,-2.114868164E0,5.995178223E0
9.074719309E1,5.416259766E1,-2.114868164E0,6.594848633E0
9.084790110E1,5.386199951E1,-2.804565430E0,4.194641113E0
9.094860911E1,5.326232910E1,-1.255798340E0,4.493713379E0
9.104934764E1,5.386199951E1,-1.594543457E0,5.694580078E0
9.115002512E1,5.446166992E1,-1.765441895E0,4.794311523E0
9.125073313E1,5.416259766E1,-2.635192871E0,6.294250488E0
9.135293650E1,5.326232910E1,-1.594543457E0,6.893920898E0
9.145309519E1,5.386199951E1,-3.155517578E0,5.393981934E0
9.155328440E1,5.326232910E1,-1.425170898E0,4.794311523E0
9.165356516E1,5.446166992E1,-2.635192871E0,5.694580078E0
9.175427317E1,5.326232910E1,-2.464294434E0,5.995178223E0
9.185498118E1,5.416259766E1,-2.804565430E0,5.995178223E0
9.195568919E1,5.386199951E1,-2.635192871E0,5.094909668E0
9.205639720E1,5.446166992E1,-2.984619141E0,5.694580078E0
9.215710520E1,5.386199951E1,-2.984619141E0,5.694580078E0
9.225949168E1,5.326232910E1,-2.285766602E0,5.094909668E0
9.235968089E1,5.446166992E1,-2.984619141E0,6.893920898E0
9.245987010E1,5.386199951E1,-2.285766602E0,5.094909668E0
9.256002879E1,5.326232910E1,-1.594543457E0,3.294372559E0
9.266064524E1,5.416259766E1,-2.285766602E0,4.493713379E0
9.276135325E1,5.266265869E1,-2.285766602E0,4.493713379E0
9.286206126E1,5.386199951E1,-2.984619141E0,5.694580078E0
9.296276927E1,5.386199951E1,-2.114868164E0,4.794311523E0
9.306347727E1,5.356140137E1,-3.155517578E0,4.794311523E0
9.316418528E1,5.356140137E1,-2.635192871E0,6.294250488E0
9.326623606E1,5.416259766E1,-2.984619141E0,6.893920898E0
9.336645579E1,5.446166992E1,-3.324890137E0,5.094909668E0
9.346664500E1,5.326232910E1,-2.464294434E0,5.995178223E0
