"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.065362360E1,1.539916992E-1,5.667266846E-1,9.926467896E0
3.075378229E1,5.586090088E-1,2.554779053E-1,9.447631836E0
3.085394098E1,1.181106567E0,3.608245850E-1,9.095687866E0
3.095413019E1,9.680175781E-1,2.866058350E-1,9.878585815E0
3.105431940E1,6.160736084E-1,4.111022949E-1,9.976745605E0
3.115447809E1,8.961944580E-1,6.050262451E-1,9.912109375E0
3.125463678E1,1.147583008E0,3.177337646E-1,9.289611816E0
3.135485651E1,9.536590576E-1,1.022491455E-1,9.818725586E0
3.145501520E1,1.135620117E0,7.830810547E-2,9.768447876E0
3.155517389E1,6.783294678E-1,1.429443359E-1,9.600860596E0
3.165536310E1,9.033813477E-1,5.930633545E-1,9.378204346E0
3.175555231E1,9.297180176E-1,3.081512451E-1,1.010363770E1
3.185571100E1,8.914031982E-1,1.549224854E-1,9.521850586E0
3.195586969E1,7.190246582E-1,2.746276855E-1,9.421295166E0
3.205605890E1,1.051818848E0,4.972991943E-1,9.497909546E0
3.215624811E1,6.687469482E-1,3.105468750E-1,9.971954346E0
3.225640680E1,6.352233887E-1,3.057556152E-1,9.715774536E0
3.235659601E1,7.333831787E-1,1.453399658E-1,9.514663696E0
3.245678522E1,1.238571167E0,4.134979248E-1,9.438049316E0
3.255694391E1,9.752044678E-1,2.291412354E-1,1.002702332E1
3.265710260E1,6.017150879E-1,1.908416748E-1,9.531433105E0
3.275729181E1,7.908477783E-1,4.422302246E-1,9.409317017E0
3.285745050E1,1.087738037E0,3.751831055E-1,9.892944336E0
3.295763971E1,7.740936279E-1,1.884460449E-1,9.804367065E0
3.305779840E1,7.716979980E-1,1.453399658E-1,9.586486816E0
3.315798761E1,4.915771484E-1,3.512420654E-1,9.335098267E0
3.325817682E1,1.231384277E0,3.081512451E-1,9.596069336E0
3.335836603E1,8.004302979E-1,2.482910156E-1,9.936050415E0
3.345852472E1,8.554992676E-1,1.692810059E-1,9.567337036E0
3.355868341E1,7.046661377E-1,3.081512451E-1,9.529037476E0
3.365884210E1,1.104492188E0,4.111022949E-1,9.529037476E0
3.375906183E1,8.937988281E-1,1.932220459E-1,9.928863525E0
3.385922052E1,8.507080078E-1,1.956176758E-1,9.811553955E0
3.395940973E1,7.453613281E-1,2.602691650E-1,9.560150146E0
3.405956842E1,1.114074707E0,4.446258545E-1,9.529037476E0
3.415975763E1,9.368896484E-1,1.429443359E-1,9.849853516E0
3.425991632E1,7.453613281E-1,2.435150146E-1,9.672683716E0
3.436010553E1,6.663513184E-1,2.578735352E-1,9.517059326E0
3.446026422E1,1.109283447E0,3.895568848E-1,9.533813477E0
3.456045343E1,8.794403076E-1,2.698364258E-1,1.001745605E1
3.466061212E1,7.094421387E-1,1.980133057E-1,9.600860596E0
3.476080133E1,7.477569580E-1,2.961730957E-1,9.404525757E0
3.486096002E1,1.039840698E0,3.273010254E-1,9.727752686E0
3.496111872E1,9.177398682E-1,1.285858154E-1,9.797180176E0
3.506130792E1,7.022705078E-1,2.171783447E-1,9.718170166E0
3.516149713E1,7.788848877E-1,3.799743652E-1,9.512268066E0
3.526168634E1,1.039840698E0,3.201293945E-1,9.529037476E0
3.536184503E1,9.009857178E-1,1.908416748E-1,9.880981445E0
3.546200373E1,6.950836182E-1,2.099914551E-1,9.706207275E0
3.556219293E1,7.980346680E-1,2.961730957E-1,9.339889526E0
3.566238214E1,1.099700928E0,3.201293945E-1,9.643951416E0
3.576257135E1,8.387298584E-1,1.956176758E-1,9.876190186E0
3.586276056E1,6.878967285E-1,1.573181152E-1,9.696624756E0
3.596291925E1,7.740936279E-1,3.847656250E-1,9.356643677E0
3.606310846E1,1.020690918E0,2.435150146E-1,9.840270996E0
3.616323664E1,8.914031982E-1,2.435150146E-1,9.888168335E0
3.626345636E1,6.831054688E-1,2.291412354E-1,9.629592896E0
3.636358454E1,8.052215576E-1,3.488464355E-1,9.339889526E0
3.646374323E1,1.054214478E0,2.363281250E-1,9.768447876E0
3.656393244E1,8.794403076E-1,2.267456055E-1,9.912109375E0
3.666412164E1,6.591644287E-1,2.195587158E-1,9.588882446E0
3.676428034E1,9.440765381E-1,2.985687256E-1,9.294403076E0
